EA_base_islands_model at Generation 6, Population reduced to 20
EA_base_islands_model at Generation 26, Population reduced to 20
EA_base_islands_model at Generation 45, Population reduced to 20
EA_base_islands_model at Generation 64, Population reduced to 20
EA_base_islands_model at Generation 85, Population reduced to 20
EA_base_islands_model at Generation 105, Population reduced to 20
EA_base_islands_model at Generation 117, Population reduced to 20
EA_base_islands_model at Generation 135, Population reduced to 20
EA_base_islands_model at Generation 154, Population reduced to 20
EA_base_islands_model at Generation 171, Population reduced to 20
EA_base_islands_model at Generation 189, Population reduced to 20
EA_base_islands_model at Generation 207, Population reduced to 20
EA_base_islands_model at Generation 225, Population reduced to 20
EA_base_islands_model at Generation 246, Population reduced to 20
EA_base_islands_model at Generation 262, Population reduced to 20
EA_base_islands_model at Generation 279, Population reduced to 20
