
Generation 0 - Best Individual for Enemy 7: Fitness: 87.572892, Player Life: 29.20000000000026, Enemy Life: 0, Time: 210, Gain: 29.20000000000026
Generation 1 - Best Individual for Enemy 7: Fitness: 87.572892, Player Life: 29.20000000000026, Enemy Life: 0, Time: 210, Gain: 29.20000000000026
Generation 2 - Best Individual for Enemy 7: Fitness: 87.572892, Player Life: 29.20000000000026, Enemy Life: 0, Time: 210, Gain: 29.20000000000026
Generation 3 - Best Individual for Enemy 7: Fitness: 87.572892, Player Life: 29.20000000000026, Enemy Life: 0, Time: 210, Gain: 29.20000000000026
Generation 4 - Best Individual for Enemy 7: Fitness: 75.634024, Player Life: 0, Enemy Life: 10.0, Time: 214, Gain: -10.0
Generation 5 - Best Individual for Enemy 7: Fitness: 75.634024, Player Life: 0, Enemy Life: 10.0, Time: 214, Gain: -10.0
Generation 6 - Best Individual for Enemy 7: Fitness: 75.696695, Player Life: 0, Enemy Life: 10.0, Time: 201, Gain: -10.0
Generation 7 - Best Individual for Enemy 7: Fitness: 75.696695, Player Life: 0, Enemy Life: 10.0, Time: 201, Gain: -10.0
Generation 8 - Best Individual for Enemy 7: Fitness: 75.67699, Player Life: 0, Enemy Life: 10.0, Time: 205, Gain: -10.0
Generation 9 - Best Individual for Enemy 7: Fitness: 75.67699, Player Life: 0, Enemy Life: 10.0, Time: 205, Gain: -10.0
Generation 10 - Best Individual for Enemy 7: Fitness: 75.67699, Player Life: 0, Enemy Life: 10.0, Time: 205, Gain: -10.0
Generation 11 - Best Individual for Enemy 7: Fitness: 75.67699, Player Life: 0, Enemy Life: 10.0, Time: 205, Gain: -10.0
Generation 12 - Best Individual for Enemy 7: Fitness: 75.67699, Player Life: 0, Enemy Life: 10.0, Time: 205, Gain: -10.0
Generation 13 - Best Individual for Enemy 7: Fitness: 75.67699, Player Life: 0, Enemy Life: 10.0, Time: 205, Gain: -10.0
Generation 14 - Best Individual for Enemy 7: Fitness: 75.67699, Player Life: 0, Enemy Life: 10.0, Time: 205, Gain: -10.0
Generation 15 - Best Individual for Enemy 7: Fitness: 75.67699, Player Life: 0, Enemy Life: 10.0, Time: 205, Gain: -10.0
Generation 16 - Best Individual for Enemy 7: Fitness: 75.67699, Player Life: 0, Enemy Life: 10.0, Time: 205, Gain: -10.0
Generation 17 - Best Individual for Enemy 7: Fitness: 75.67699, Player Life: 0, Enemy Life: 10.0, Time: 205, Gain: -10.0
Generation 18 - Best Individual for Enemy 7: Fitness: 75.67699, Player Life: 0, Enemy Life: 10.0, Time: 205, Gain: -10.0
Generation 19 - Best Individual for Enemy 7: Fitness: 75.67699, Player Life: 0, Enemy Life: 10.0, Time: 205, Gain: -10.0
Generation 20 - Best Individual for Enemy 7: Fitness: 75.67699, Player Life: 0, Enemy Life: 10.0, Time: 205, Gain: -10.0
Generation 21 - Best Individual for Enemy 7: Fitness: 75.67699, Player Life: 0, Enemy Life: 10.0, Time: 205, Gain: -10.0
Generation 22 - Best Individual for Enemy 7: Fitness: 75.67699, Player Life: 0, Enemy Life: 10.0, Time: 205, Gain: -10.0
Generation 23 - Best Individual for Enemy 7: Fitness: 75.67699, Player Life: 0, Enemy Life: 10.0, Time: 205, Gain: -10.0
Generation 24 - Best Individual for Enemy 7: Fitness: 75.667281, Player Life: 0, Enemy Life: 10.0, Time: 207, Gain: -10.0
Generation 25 - Best Individual for Enemy 7: Fitness: 75.667281, Player Life: 0, Enemy Life: 10.0, Time: 207, Gain: -10.0
Generation 26 - Best Individual for Enemy 7: Fitness: 75.667281, Player Life: 0, Enemy Life: 10.0, Time: 207, Gain: -10.0
Generation 27 - Best Individual for Enemy 7: Fitness: 75.667281, Player Life: 0, Enemy Life: 10.0, Time: 207, Gain: -10.0
Generation 28 - Best Individual for Enemy 7: Fitness: 75.667281, Player Life: 0, Enemy Life: 10.0, Time: 207, Gain: -10.0
Generation 29 - Best Individual for Enemy 7: Fitness: 75.667281, Player Life: 0, Enemy Life: 10.0, Time: 207, Gain: -10.0
Generation 30 - Best Individual for Enemy 7: Fitness: 75.667281, Player Life: 0, Enemy Life: 10.0, Time: 207, Gain: -10.0
Generation 31 - Best Individual for Enemy 7: Fitness: 75.667281, Player Life: 0, Enemy Life: 10.0, Time: 207, Gain: -10.0
Generation 32 - Best Individual for Enemy 7: Fitness: 75.667281, Player Life: 0, Enemy Life: 10.0, Time: 207, Gain: -10.0
Generation 33 - Best Individual for Enemy 7: Fitness: 75.667281, Player Life: 0, Enemy Life: 10.0, Time: 207, Gain: -10.0
Generation 34 - Best Individual for Enemy 7: Fitness: 75.667281, Player Life: 0, Enemy Life: 10.0, Time: 207, Gain: -10.0
Generation 35 - Best Individual for Enemy 7: Fitness: 75.667281, Player Life: 0, Enemy Life: 10.0, Time: 207, Gain: -10.0
Generation 36 - Best Individual for Enemy 7: Fitness: 75.667281, Player Life: 0, Enemy Life: 10.0, Time: 207, Gain: -10.0
Generation 37 - Best Individual for Enemy 7: Fitness: 75.667281, Player Life: 0, Enemy Life: 10.0, Time: 207, Gain: -10.0
Generation 38 - Best Individual for Enemy 7: Fitness: 75.667281, Player Life: 0, Enemy Life: 10.0, Time: 207, Gain: -10.0
Generation 39 - Best Individual for Enemy 7: Fitness: 75.667281, Player Life: 0, Enemy Life: 10.0, Time: 207, Gain: -10.0
Generation 40 - Best Individual for Enemy 7: Fitness: 75.667281, Player Life: 0, Enemy Life: 10.0, Time: 207, Gain: -10.0
Generation 41 - Best Individual for Enemy 7: Fitness: 75.667281, Player Life: 0, Enemy Life: 10.0, Time: 207, Gain: -10.0
Generation 42 - Best Individual for Enemy 7: Fitness: 75.667281, Player Life: 0, Enemy Life: 10.0, Time: 207, Gain: -10.0
Generation 43 - Best Individual for Enemy 7: Fitness: 75.667281, Player Life: 0, Enemy Life: 10.0, Time: 207, Gain: -10.0
Generation 44 - Best Individual for Enemy 7: Fitness: 75.667281, Player Life: 0, Enemy Life: 10.0, Time: 207, Gain: -10.0
Generation 45 - Best Individual for Enemy 7: Fitness: 75.667281, Player Life: 0, Enemy Life: 10.0, Time: 207, Gain: -10.0
Generation 46 - Best Individual for Enemy 7: Fitness: 75.667281, Player Life: 0, Enemy Life: 10.0, Time: 207, Gain: -10.0
Generation 47 - Best Individual for Enemy 7: Fitness: 57.672124, Player Life: 0, Enemy Life: 30.0, Time: 206, Gain: -30.0
Generation 48 - Best Individual for Enemy 7: Fitness: 57.672124, Player Life: 0, Enemy Life: 30.0, Time: 206, Gain: -30.0
Generation 49 - Best Individual for Enemy 7: Fitness: 57.672124, Player Life: 0, Enemy Life: 30.0, Time: 206, Gain: -30.0
