
Generation 0 - Best Individual for Enemy 3: Fitness: 39.182889, Player Life: 0, Enemy Life: 50.0, Time: 336, Gain: -50.0
Generation 1 - Best Individual for Enemy 3: Fitness: 39.182889, Player Life: 0, Enemy Life: 50.0, Time: 336, Gain: -50.0
Generation 2 - Best Individual for Enemy 3: Fitness: 39.182889, Player Life: 0, Enemy Life: 50.0, Time: 336, Gain: -50.0
Generation 3 - Best Individual for Enemy 3: Fitness: 39.176954, Player Life: 0, Enemy Life: 50.0, Time: 338, Gain: -50.0
Generation 4 - Best Individual for Enemy 3: Fitness: 39.176954, Player Life: 0, Enemy Life: 50.0, Time: 338, Gain: -50.0
Generation 5 - Best Individual for Enemy 3: Fitness: 39.176954, Player Life: 0, Enemy Life: 50.0, Time: 338, Gain: -50.0
Generation 6 - Best Individual for Enemy 3: Fitness: 66.222348, Player Life: 0, Enemy Life: 20.0, Time: 323, Gain: -20.0
Generation 7 - Best Individual for Enemy 3: Fitness: 66.222348, Player Life: 0, Enemy Life: 20.0, Time: 323, Gain: -20.0
Generation 8 - Best Individual for Enemy 3: Fitness: 66.222348, Player Life: 0, Enemy Life: 20.0, Time: 323, Gain: -20.0
Generation 9 - Best Individual for Enemy 3: Fitness: 66.222348, Player Life: 0, Enemy Life: 20.0, Time: 323, Gain: -20.0
Generation 10 - Best Individual for Enemy 3: Fitness: 66.222348, Player Life: 0, Enemy Life: 20.0, Time: 323, Gain: -20.0
Generation 11 - Best Individual for Enemy 3: Fitness: 66.222348, Player Life: 0, Enemy Life: 20.0, Time: 323, Gain: -20.0
Generation 12 - Best Individual for Enemy 3: Fitness: 66.222348, Player Life: 0, Enemy Life: 20.0, Time: 323, Gain: -20.0
Generation 13 - Best Individual for Enemy 3: Fitness: 66.222348, Player Life: 0, Enemy Life: 20.0, Time: 323, Gain: -20.0
Generation 14 - Best Individual for Enemy 3: Fitness: 66.222348, Player Life: 0, Enemy Life: 20.0, Time: 323, Gain: -20.0
Generation 15 - Best Individual for Enemy 3: Fitness: 66.222348, Player Life: 0, Enemy Life: 20.0, Time: 323, Gain: -20.0
Generation 16 - Best Individual for Enemy 3: Fitness: 66.222348, Player Life: 0, Enemy Life: 20.0, Time: 323, Gain: -20.0
Generation 17 - Best Individual for Enemy 3: Fitness: 66.222348, Player Life: 0, Enemy Life: 20.0, Time: 323, Gain: -20.0
Generation 18 - Best Individual for Enemy 3: Fitness: 66.474547, Player Life: 0, Enemy Life: 20.0, Time: 251, Gain: -20.0
Generation 19 - Best Individual for Enemy 3: Fitness: 66.474547, Player Life: 0, Enemy Life: 20.0, Time: 251, Gain: -20.0
Generation 20 - Best Individual for Enemy 3: Fitness: 75.046757, Player Life: 0, Enemy Life: 10.0, Time: 385, Gain: -10.0
Generation 21 - Best Individual for Enemy 3: Fitness: 75.046757, Player Life: 0, Enemy Life: 10.0, Time: 385, Gain: -10.0
Generation 22 - Best Individual for Enemy 3: Fitness: 75.046757, Player Life: 0, Enemy Life: 10.0, Time: 385, Gain: -10.0
Generation 23 - Best Individual for Enemy 3: Fitness: 75.046757, Player Life: 0, Enemy Life: 10.0, Time: 385, Gain: -10.0
