
Generation 0 - Best Individual for Enemy 6: Fitness: -5.117994, Player Life: 0, Enemy Life: 100, Time: 167, Gain: -100
Generation 1 - Best Individual for Enemy 6: Fitness: 30.36521, Player Life: 0, Enemy Life: 60.0, Time: 280, Gain: -60.0
Generation 2 - Best Individual for Enemy 6: Fitness: 30.36521, Player Life: 0, Enemy Life: 60.0, Time: 280, Gain: -60.0
Generation 3 - Best Individual for Enemy 6: Fitness: 30.36521, Player Life: 0, Enemy Life: 60.0, Time: 280, Gain: -60.0
Generation 4 - Best Individual for Enemy 6: Fitness: 30.36521, Player Life: 0, Enemy Life: 60.0, Time: 280, Gain: -60.0
Generation 5 - Best Individual for Enemy 6: Fitness: 30.36521, Player Life: 0, Enemy Life: 60.0, Time: 280, Gain: -60.0
Generation 6 - Best Individual for Enemy 6: Fitness: 48.256997, Player Life: 0, Enemy Life: 40.0, Time: 312, Gain: -40.0
Generation 7 - Best Individual for Enemy 6: Fitness: 48.102846, Player Life: 0, Enemy Life: 40.0, Time: 364, Gain: -40.0
Generation 8 - Best Individual for Enemy 6: Fitness: 48.102846, Player Life: 0, Enemy Life: 40.0, Time: 364, Gain: -40.0
Generation 9 - Best Individual for Enemy 6: Fitness: 48.102846, Player Life: 0, Enemy Life: 40.0, Time: 364, Gain: -40.0
Generation 10 - Best Individual for Enemy 6: Fitness: 66.185869, Player Life: 0, Enemy Life: 20.0, Time: 335, Gain: -20.0
Generation 11 - Best Individual for Enemy 6: Fitness: 66.527729, Player Life: 0, Enemy Life: 20.0, Time: 238, Gain: -20.0
Generation 12 - Best Individual for Enemy 6: Fitness: 66.527729, Player Life: 0, Enemy Life: 20.0, Time: 238, Gain: -20.0
Generation 13 - Best Individual for Enemy 6: Fitness: 66.527729, Player Life: 0, Enemy Life: 20.0, Time: 238, Gain: -20.0
Generation 14 - Best Individual for Enemy 6: Fitness: 75.213103, Player Life: 0, Enemy Life: 10.0, Time: 326, Gain: -10.0
Generation 15 - Best Individual for Enemy 6: Fitness: 75.213103, Player Life: 0, Enemy Life: 10.0, Time: 326, Gain: -10.0
Generation 16 - Best Individual for Enemy 6: Fitness: 75.213103, Player Life: 0, Enemy Life: 10.0, Time: 326, Gain: -10.0
Generation 17 - Best Individual for Enemy 6: Fitness: 75.213103, Player Life: 0, Enemy Life: 10.0, Time: 326, Gain: -10.0
Generation 18 - Best Individual for Enemy 6: Fitness: 75.213103, Player Life: 0, Enemy Life: 10.0, Time: 326, Gain: -10.0
Generation 19 - Best Individual for Enemy 6: Fitness: 75.213103, Player Life: 0, Enemy Life: 10.0, Time: 326, Gain: -10.0
Generation 20 - Best Individual for Enemy 6: Fitness: 75.213103, Player Life: 0, Enemy Life: 10.0, Time: 326, Gain: -10.0
Generation 21 - Best Individual for Enemy 6: Fitness: 75.213103, Player Life: 0, Enemy Life: 10.0, Time: 326, Gain: -10.0
Generation 22 - Best Individual for Enemy 6: Fitness: 75.213103, Player Life: 0, Enemy Life: 10.0, Time: 326, Gain: -10.0
Generation 23 - Best Individual for Enemy 6: Fitness: 75.213103, Player Life: 0, Enemy Life: 10.0, Time: 326, Gain: -10.0
Generation 24 - Best Individual for Enemy 6: Fitness: 75.213103, Player Life: 0, Enemy Life: 10.0, Time: 326, Gain: -10.0
Generation 25 - Best Individual for Enemy 6: Fitness: 66.216175, Player Life: 0, Enemy Life: 20.0, Time: 325, Gain: -20.0
