
Generation 0 - Best Individual for Enemy 8: Fitness: 48.054579, Player Life: 0, Enemy Life: 40.0, Time: 382, Gain: -40.0
Generation 1 - Best Individual for Enemy 8: Fitness: 21.094638, Player Life: 0, Enemy Life: 70.0, Time: 367, Gain: -70.0
Generation 2 - Best Individual for Enemy 8: Fitness: 84.466214, Player Life: 6.400000000000233, Enemy Life: 0, Time: 480, Gain: 6.400000000000233
Generation 3 - Best Individual for Enemy 8: Fitness: 84.466214, Player Life: 6.400000000000233, Enemy Life: 0, Time: 480, Gain: 6.400000000000233
Generation 4 - Best Individual for Enemy 8: Fitness: 84.466214, Player Life: 6.400000000000233, Enemy Life: 0, Time: 480, Gain: 6.400000000000233
Generation 5 - Best Individual for Enemy 8: Fitness: 84.466214, Player Life: 6.400000000000233, Enemy Life: 0, Time: 480, Gain: 6.400000000000233
Generation 6 - Best Individual for Enemy 8: Fitness: 84.466214, Player Life: 6.400000000000233, Enemy Life: 0, Time: 480, Gain: 6.400000000000233
Generation 7 - Best Individual for Enemy 8: Fitness: 84.466214, Player Life: 6.400000000000233, Enemy Life: 0, Time: 480, Gain: 6.400000000000233
Generation 8 - Best Individual for Enemy 8: Fitness: 84.466214, Player Life: 6.400000000000233, Enemy Life: 0, Time: 480, Gain: 6.400000000000233
Generation 9 - Best Individual for Enemy 8: Fitness: 84.466214, Player Life: 6.400000000000233, Enemy Life: 0, Time: 480, Gain: 6.400000000000233
Generation 10 - Best Individual for Enemy 8: Fitness: 84.346214, Player Life: 5.200000000000234, Enemy Life: 0, Time: 480, Gain: 5.200000000000234
Generation 11 - Best Individual for Enemy 8: Fitness: 84.406214, Player Life: 5.800000000000233, Enemy Life: 0, Time: 480, Gain: 5.800000000000233
Generation 12 - Best Individual for Enemy 8: Fitness: 84.406214, Player Life: 5.800000000000233, Enemy Life: 0, Time: 480, Gain: 5.800000000000233
Generation 13 - Best Individual for Enemy 8: Fitness: 84.406214, Player Life: 5.800000000000233, Enemy Life: 0, Time: 480, Gain: 5.800000000000233
Generation 14 - Best Individual for Enemy 8: Fitness: 84.466214, Player Life: 6.400000000000233, Enemy Life: 0, Time: 480, Gain: 6.400000000000233
Generation 15 - Best Individual for Enemy 8: Fitness: 84.466214, Player Life: 6.400000000000233, Enemy Life: 0, Time: 480, Gain: 6.400000000000233
Generation 16 - Best Individual for Enemy 8: Fitness: 84.466214, Player Life: 6.400000000000233, Enemy Life: 0, Time: 480, Gain: 6.400000000000233
Generation 17 - Best Individual for Enemy 8: Fitness: 84.466214, Player Life: 6.400000000000233, Enemy Life: 0, Time: 480, Gain: 6.400000000000233
Generation 18 - Best Individual for Enemy 8: Fitness: 84.466214, Player Life: 6.400000000000233, Enemy Life: 0, Time: 480, Gain: 6.400000000000233
Generation 19 - Best Individual for Enemy 8: Fitness: 84.466214, Player Life: 6.400000000000233, Enemy Life: 0, Time: 480, Gain: 6.400000000000233
Generation 20 - Best Individual for Enemy 8: Fitness: 87.901106, Player Life: 38.20000000000028, Enemy Life: 0, Time: 372, Gain: 38.20000000000028
Generation 21 - Best Individual for Enemy 8: Fitness: 87.901106, Player Life: 38.20000000000028, Enemy Life: 0, Time: 372, Gain: 38.20000000000028
Generation 22 - Best Individual for Enemy 8: Fitness: 87.901106, Player Life: 38.20000000000028, Enemy Life: 0, Time: 372, Gain: 38.20000000000028
Generation 23 - Best Individual for Enemy 8: Fitness: 87.901106, Player Life: 38.20000000000028, Enemy Life: 0, Time: 372, Gain: 38.20000000000028
Generation 24 - Best Individual for Enemy 8: Fitness: 87.901106, Player Life: 38.20000000000028, Enemy Life: 0, Time: 372, Gain: 38.20000000000028
Generation 25 - Best Individual for Enemy 8: Fitness: 87.901106, Player Life: 38.20000000000028, Enemy Life: 0, Time: 372, Gain: 38.20000000000028
Generation 26 - Best Individual for Enemy 8: Fitness: 87.901106, Player Life: 38.20000000000028, Enemy Life: 0, Time: 372, Gain: 38.20000000000028
Generation 27 - Best Individual for Enemy 8: Fitness: 87.901106, Player Life: 38.20000000000028, Enemy Life: 0, Time: 372, Gain: 38.20000000000028
Generation 28 - Best Individual for Enemy 8: Fitness: 87.901106, Player Life: 38.20000000000028, Enemy Life: 0, Time: 372, Gain: 38.20000000000028
Generation 29 - Best Individual for Enemy 8: Fitness: 87.901106, Player Life: 38.20000000000028, Enemy Life: 0, Time: 372, Gain: 38.20000000000028
Generation 30 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 31 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 32 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 33 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 34 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 35 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 36 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 37 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 38 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 39 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 40 - Best Individual for Enemy 8: Fitness: 89.365189, Player Life: 52.00000000000031, Enemy Life: 0, Time: 342, Gain: 52.00000000000031
Generation 41 - Best Individual for Enemy 8: Fitness: 89.365189, Player Life: 52.00000000000031, Enemy Life: 0, Time: 342, Gain: 52.00000000000031
Generation 42 - Best Individual for Enemy 8: Fitness: 89.365189, Player Life: 52.00000000000031, Enemy Life: 0, Time: 342, Gain: 52.00000000000031
Generation 43 - Best Individual for Enemy 8: Fitness: 89.365189, Player Life: 52.00000000000031, Enemy Life: 0, Time: 342, Gain: 52.00000000000031
Generation 44 - Best Individual for Enemy 8: Fitness: 89.365189, Player Life: 52.00000000000031, Enemy Life: 0, Time: 342, Gain: 52.00000000000031
Generation 45 - Best Individual for Enemy 8: Fitness: 89.365189, Player Life: 52.00000000000031, Enemy Life: 0, Time: 342, Gain: 52.00000000000031
