
Generation 0 - Best Individual for Enemy 5: Fitness: 87.29727, Player Life: 40.600000000000286, Enemy Life: 0, Time: 865, Gain: 40.600000000000286
Generation 1 - Best Individual for Enemy 5: Fitness: 88.892751, Player Life: 44.800000000000296, Enemy Life: 0, Time: 267, Gain: 44.800000000000296
Generation 2 - Best Individual for Enemy 5: Fitness: 88.892751, Player Life: 44.800000000000296, Enemy Life: 0, Time: 267, Gain: 44.800000000000296
Generation 3 - Best Individual for Enemy 5: Fitness: 88.892751, Player Life: 44.800000000000296, Enemy Life: 0, Time: 267, Gain: 44.800000000000296
Generation 4 - Best Individual for Enemy 5: Fitness: 90.739336, Player Life: 76.00000000000023, Enemy Life: 0, Time: 954, Gain: 76.00000000000023
Generation 5 - Best Individual for Enemy 5: Fitness: 90.739336, Player Life: 76.00000000000023, Enemy Life: 0, Time: 954, Gain: 76.00000000000023
Generation 6 - Best Individual for Enemy 5: Fitness: 90.404051, Player Life: 59.80000000000033, Enemy Life: 0, Time: 264, Gain: 59.80000000000033
Generation 7 - Best Individual for Enemy 5: Fitness: 90.404051, Player Life: 59.80000000000033, Enemy Life: 0, Time: 264, Gain: 59.80000000000033
Generation 8 - Best Individual for Enemy 5: Fitness: 90.404051, Player Life: 59.80000000000033, Enemy Life: 0, Time: 264, Gain: 59.80000000000033
Generation 9 - Best Individual for Enemy 5: Fitness: 90.404051, Player Life: 59.80000000000033, Enemy Life: 0, Time: 264, Gain: 59.80000000000033
Generation 10 - Best Individual for Enemy 5: Fitness: 90.983414, Player Life: 63.40000000000034, Enemy Life: 0, Time: 212, Gain: 63.40000000000034
Generation 11 - Best Individual for Enemy 5: Fitness: 90.983414, Player Life: 63.40000000000034, Enemy Life: 0, Time: 212, Gain: 63.40000000000034
Generation 12 - Best Individual for Enemy 5: Fitness: 90.983414, Player Life: 63.40000000000034, Enemy Life: 0, Time: 212, Gain: 63.40000000000034
Generation 13 - Best Individual for Enemy 5: Fitness: 90.983414, Player Life: 63.40000000000034, Enemy Life: 0, Time: 212, Gain: 63.40000000000034
Generation 14 - Best Individual for Enemy 5: Fitness: 90.983414, Player Life: 63.40000000000034, Enemy Life: 0, Time: 212, Gain: 63.40000000000034
Generation 15 - Best Individual for Enemy 5: Fitness: 90.983414, Player Life: 63.40000000000034, Enemy Life: 0, Time: 212, Gain: 63.40000000000034
Generation 16 - Best Individual for Enemy 5: Fitness: 90.983414, Player Life: 63.40000000000034, Enemy Life: 0, Time: 212, Gain: 63.40000000000034
Generation 17 - Best Individual for Enemy 5: Fitness: 90.983414, Player Life: 63.40000000000034, Enemy Life: 0, Time: 212, Gain: 63.40000000000034
Generation 18 - Best Individual for Enemy 5: Fitness: 90.983414, Player Life: 63.40000000000034, Enemy Life: 0, Time: 212, Gain: 63.40000000000034
Generation 19 - Best Individual for Enemy 5: Fitness: 90.983414, Player Life: 63.40000000000034, Enemy Life: 0, Time: 212, Gain: 63.40000000000034
Generation 20 - Best Individual for Enemy 5: Fitness: 90.636504, Player Life: 62.20000000000034, Enemy Life: 0, Time: 266, Gain: 62.20000000000034
Generation 21 - Best Individual for Enemy 5: Fitness: 90.636504, Player Life: 62.20000000000034, Enemy Life: 0, Time: 266, Gain: 62.20000000000034
Generation 22 - Best Individual for Enemy 5: Fitness: 90.636504, Player Life: 62.20000000000034, Enemy Life: 0, Time: 266, Gain: 62.20000000000034
Generation 23 - Best Individual for Enemy 5: Fitness: 90.636504, Player Life: 62.20000000000034, Enemy Life: 0, Time: 266, Gain: 62.20000000000034
Generation 24 - Best Individual for Enemy 5: Fitness: 90.636504, Player Life: 62.20000000000034, Enemy Life: 0, Time: 266, Gain: 62.20000000000034
Generation 25 - Best Individual for Enemy 5: Fitness: 90.636504, Player Life: 62.20000000000034, Enemy Life: 0, Time: 266, Gain: 62.20000000000034
Generation 26 - Best Individual for Enemy 5: Fitness: 90.636504, Player Life: 62.20000000000034, Enemy Life: 0, Time: 266, Gain: 62.20000000000034
Generation 27 - Best Individual for Enemy 5: Fitness: 90.636504, Player Life: 62.20000000000034, Enemy Life: 0, Time: 266, Gain: 62.20000000000034
Generation 28 - Best Individual for Enemy 5: Fitness: 90.636504, Player Life: 62.20000000000034, Enemy Life: 0, Time: 266, Gain: 62.20000000000034
Generation 29 - Best Individual for Enemy 5: Fitness: 90.636504, Player Life: 62.20000000000034, Enemy Life: 0, Time: 266, Gain: 62.20000000000034
Generation 30 - Best Individual for Enemy 5: Fitness: 90.636504, Player Life: 62.20000000000034, Enemy Life: 0, Time: 266, Gain: 62.20000000000034
Generation 31 - Best Individual for Enemy 5: Fitness: 90.636504, Player Life: 62.20000000000034, Enemy Life: 0, Time: 266, Gain: 62.20000000000034
Generation 32 - Best Individual for Enemy 5: Fitness: 90.636504, Player Life: 62.20000000000034, Enemy Life: 0, Time: 266, Gain: 62.20000000000034
Generation 33 - Best Individual for Enemy 5: Fitness: 90.636504, Player Life: 62.20000000000034, Enemy Life: 0, Time: 266, Gain: 62.20000000000034
Generation 34 - Best Individual for Enemy 5: Fitness: 90.636504, Player Life: 62.20000000000034, Enemy Life: 0, Time: 266, Gain: 62.20000000000034
