Enemy, Run, Enemy_Group, Fitness, Player_Life, Enemy_Life, Time, Gain
Enemy 1, Run 1, Enemy Group enemies_group_one, Fitness: 94.91859563501554, Player Life: 100, Enemy Life: 0, Time: 161, Gain: 100
Enemy 2, Run 1, Enemy Group enemies_group_one, Fitness: 92.93193985886488, Player Life: 84, Enemy Life: 0, Time: 237, Gain: 84
Enemy 3, Run 1, Enemy Group enemies_group_one, Fitness: 74.78539190157781, Player Life: 0, Enemy Life: 10.0, Time: 500, Gain: -10.0
Enemy 4, Run 1, Enemy Group enemies_group_one, Fitness: 21.153561224942276, Player Life: 0, Enemy Life: 70.0, Time: 346, Gain: -70.0
Enemy 5, Run 1, Enemy Group enemies_group_one, Fitness: 91.92110614572687, Player Life: 78.4000000000002, Enemy Life: 0, Time: 372, Gain: 78.4000000000002
Enemy 6, Run 1, Enemy Group enemies_group_one, Fitness: -5.288267030694535, Player Life: 0, Enemy Life: 100, Time: 198, Gain: -100
Enemy 7, Run 1, Enemy Group enemies_group_one, Fitness: 75.3062678611973, Player Life: 0, Enemy Life: 10.0, Time: 297, Gain: -10.0
Enemy 8, Run 1, Enemy Group enemies_group_one, Fitness: 21.337039519864053, Player Life: 0, Enemy Life: 70.0, Time: 288, Gain: -70.0
Enemy 1, Run 2, Enemy Group enemies_group_one, Fitness: 94.78506424239102, Player Life: 100, Enemy Life: 0, Time: 184, Gain: 100
Enemy 2, Run 2, Enemy Group enemies_group_one, Fitness: 91.49061166337202, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
Enemy 3, Run 2, Enemy Group enemies_group_one, Fitness: 92.19364684039827, Player Life: 82, Enemy Life: 0, Time: 406, Gain: 82
Enemy 4, Run 2, Enemy Group enemies_group_one, Fitness: 21.37959913428285, Player Life: 0, Enemy Life: 70.0, Time: 276, Gain: -70.0
Enemy 5, Run 2, Enemy Group enemies_group_one, Fitness: 91.90521039683077, Player Life: 75.40000000000023, Enemy Life: 0, Time: 280, Gain: 75.40000000000023
Enemy 6, Run 2, Enemy Group enemies_group_one, Fitness: -5.030437921392435, Player Life: 0, Enemy Life: 100, Time: 153, Gain: -100
Enemy 7, Run 2, Enemy Group enemies_group_one, Fitness: 92.81833644349736, Player Life: 79.6000000000002, Enemy Life: 0, Time: 171, Gain: 79.6000000000002
Enemy 8, Run 2, Enemy Group enemies_group_one, Fitness: 21.494668464067637, Player Life: 0, Enemy Life: 70.0, Time: 246, Gain: -70.0
Enemy 1, Run 3, Enemy Group enemies_group_one, Fitness: 94.78506424239102, Player Life: 100, Enemy Life: 0, Time: 184, Gain: 100
Enemy 2, Run 3, Enemy Group enemies_group_one, Fitness: 92.33193985886487, Player Life: 78, Enemy Life: 0, Time: 237, Gain: 78
Enemy 3, Run 3, Enemy Group enemies_group_one, Fitness: 92.16212908007786, Player Life: 82, Enemy Life: 0, Time: 419, Gain: 82
Enemy 4, Run 3, Enemy Group enemies_group_one, Fitness: 21.136368824401902, Player Life: 0, Enemy Life: 70.0, Time: 352, Gain: -70.0
