EA_base_islands_model at Generation 10, Population reduced to 20
EA_base_islands_model at Generation 30, Population reduced to 20
EA_base_islands_model at Generation 50, Population reduced to 20
EA_base_islands_model at Generation 67, Population reduced to 20
EA_base_islands_model at Generation 83, Population reduced to 20
EA_base_islands_model at Generation 101, Population reduced to 20
EA_base_islands_model at Generation 121, Population reduced to 20
EA_base_islands_model at Generation 138, Population reduced to 20
EA_base_islands_model at Generation 158, Population reduced to 20
EA_base_islands_model at Generation 177, Population reduced to 20
EA_base_islands_model at Generation 195, Population reduced to 20
