Generation 0: Best Fitness: 75.82329551764116, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(30.179917069647637), np.float64(75.2731522524128)]
Generation 1: Best Fitness: 75.82329551764116, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(30.179917069647637), np.float64(75.2731522524128)]
Generation 2: Best Fitness: 78.40033231365757, Per-Enemy Fitness: [np.float64(21.25699681219052), np.float64(91.49061166337202), np.float64(30.89405452609942), np.float64(84.93167900420625)]
Generation 3: Best Fitness: 78.40033231365757, Per-Enemy Fitness: [np.float64(21.25699681219052), np.float64(91.49061166337202), np.float64(30.89405452609942), np.float64(84.93167900420625)]
Generation 4: Best Fitness: 78.48727152646497, Per-Enemy Fitness: [np.float64(21.25699681219052), np.float64(91.49061166337202), np.float64(30.179917069647637), np.float64(85.99357331188759)]
Generation 5: Best Fitness: 95.7523758478214, Per-Enemy Fitness: [np.float64(39.17991706964764), np.float64(75.15067522005315), np.float64(38.7290115681417), np.float64(75.03385326087631)]
Generation 6: Best Fitness: 95.7523758478214, Per-Enemy Fitness: [np.float64(39.17991706964764), np.float64(75.15067522005315), np.float64(38.7290115681417), np.float64(75.03385326087631)]
Generation 7: Best Fitness: 95.7523758478214, Per-Enemy Fitness: [np.float64(39.17991706964764), np.float64(75.15067522005315), np.float64(38.7290115681417), np.float64(75.03385326087631)]
Generation 8: Best Fitness: 95.7523758478214, Per-Enemy Fitness: [np.float64(39.17991706964764), np.float64(75.15067522005315), np.float64(38.7290115681417), np.float64(75.03385326087631)]
Generation 9: Best Fitness: 98.23885082412963, Per-Enemy Fitness: [np.float64(30.269900217026425), np.float64(91.49061166337202), np.float64(57.17695410451698), np.float64(92.93833644349735)]
Generation 10: Best Fitness: 105.40804955977173, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(66.21617481767026), np.float64(48.182888840036796), np.float64(57.23167900420623)]
Generation 11: Best Fitness: 80.26472717591751, Per-Enemy Fitness: [np.float64(21.24109822612272), np.float64(91.49061166337202), np.float64(48.17991706964764), np.float64(75.1828888400368)]
Generation 12: Best Fitness: 105.3421817286275, Per-Enemy Fitness: [np.float64(39.22855887686998), np.float64(75.21310261863329), np.float64(74.75583309933626), np.float64(75.25699681219052)]
Generation 13: Best Fitness: 138.17629689020788, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(90.73703951986406), np.float64(65.88631782016776), np.float64(66.26665872310225)]
Generation 14: Best Fitness: 138.17629689020788, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(90.73703951986406), np.float64(65.88631782016776), np.float64(66.26665872310225)]
