Generation 0: Best Fitness: 64.70116207408789, Per-Enemy Fitness: [21.136368824401902, 90.86901301948917, 12.46661051127248, 84.4662138960981]
Generation 1: Best Fitness: 64.70116207408789, Per-Enemy Fitness: [21.136368824401902, 90.86901301948917, 12.46661051127248, 84.4662138960981]
Generation 2: Best Fitness: 76.69879310018834, Per-Enemy Fitness: [12.394197933704003, 89.00528862039819, 66.18586946817493, 89.63302464366022]
Generation 3: Best Fitness: 76.69879310018834, Per-Enemy Fitness: [12.394197933704003, 89.00528862039819, 66.18586946817493, 89.63302464366022]
Generation 4: Best Fitness: 88.44100374488045, Per-Enemy Fitness: [46.90327862150524, 92.39486503108353, 29.815851109062518, 65.38661578162043]
Generation 5: Best Fitness: 88.44100374488045, Per-Enemy Fitness: [46.90327862150524, 92.39486503108353, 29.815851109062518, 65.38661578162043]
Generation 6: Best Fitness: 91.7634576047109, Per-Enemy Fitness: [30.049357447412273, 89.98027017401381, 39.768891383145416, 87.05788162462296]
Generation 7: Best Fitness: 92.54159061751425, Per-Enemy Fitness: [38.06657697426928, 92.39486503108353, 29.738508315678956, 91.01237888630939]
Generation 8: Best Fitness: 90.23186844657603, Per-Enemy Fitness: [30.58389959779558, 90.43052820481508, 30.58389959779558, 86.9935479947156]
Generation 9: Best Fitness: 90.23186844657603, Per-Enemy Fitness: [30.58389959779558, 90.43052820481508, 30.58389959779558, 86.9935479947156]
Generation 10: Best Fitness: 90.23186844657603, Per-Enemy Fitness: [30.58389959779558, 90.43052820481508, 30.58389959779558, 86.9935479947156]
Generation 11: Best Fitness: 90.23186844657603, Per-Enemy Fitness: [30.58389959779558, 90.43052820481508, 30.58389959779558, 86.9935479947156]
Generation 12: Best Fitness: 90.23186844657603, Per-Enemy Fitness: [30.58389959779558, 90.43052820481508, 30.58389959779558, 86.9935479947156]
Generation 13: Best Fitness: 90.23186844657603, Per-Enemy Fitness: [30.58389959779558, 90.43052820481508, 30.58389959779558, 86.9935479947156]
Generation 14: Best Fitness: 90.23186844657603, Per-Enemy Fitness: [30.58389959779558, 90.43052820481508, 30.58389959779558, 86.9935479947156]
Generation 15: Best Fitness: 90.23186844657603, Per-Enemy Fitness: [30.58389959779558, 90.43052820481508, 30.58389959779558, 86.9935479947156]
Generation 16: Best Fitness: 90.23186844657603, Per-Enemy Fitness: [30.58389959779558, 90.43052820481508, 30.58389959779558, 86.9935479947156]
Generation 17: Best Fitness: 98.96111854654066, Per-Enemy Fitness: [65.74424995824663, 90.34027017401381, 30.54041448585584, 87.05788162462296]
Generation 18: Best Fitness: 98.96111854654066, Per-Enemy Fitness: [65.74424995824663, 90.34027017401381, 30.54041448585584, 87.05788162462296]
Generation 19: Best Fitness: 98.96111854654066, Per-Enemy Fitness: [65.74424995824663, 90.34027017401381, 30.54041448585584, 87.05788162462296]
Generation 20: Best Fitness: 98.96111854654066, Per-Enemy Fitness: [65.74424995824663, 90.34027017401381, 30.54041448585584, 87.05788162462296]
Generation 21: Best Fitness: 98.96111854654066, Per-Enemy Fitness: [65.74424995824663, 90.34027017401381, 30.54041448585584, 87.05788162462296]
Generation 22: Best Fitness: 98.96111854654066, Per-Enemy Fitness: [65.74424995824663, 90.34027017401381, 30.54041448585584, 87.05788162462296]
Generation 23: Best Fitness: 99.05070903609668, Per-Enemy Fitness: [65.84302101441445, 90.5785390821378, 30.5446788846423, 87.05788162462296]
Generation 24: Best Fitness: 110.0643590249166, Per-Enemy Fitness: [39.35455310235676, 90.24687189361195, 66.17991706964764, 87.05788162462296]
Generation 25: Best Fitness: 110.0643590249166, Per-Enemy Fitness: [39.35455310235676, 90.24687189361195, 66.17991706964764, 87.05788162462296]
Generation 26: Best Fitness: 103.44140339656843, Per-Enemy Fitness: [39.36521039683075, 88.07041085661014, 39.49061166337202, 89.37853908213779]
Generation 27: Best Fitness: 103.44140339656843, Per-Enemy Fitness: [39.36521039683075, 88.07041085661014, 39.49061166337202, 89.37853908213779]
Generation 28: Best Fitness: 103.44140339656843, Per-Enemy Fitness: [39.36521039683075, 88.07041085661014, 39.49061166337202, 89.37853908213779]
Generation 29: Best Fitness: 103.44140339656843, Per-Enemy Fitness: [39.36521039683075, 88.07041085661014, 39.49061166337202, 89.37853908213779]
Generation 30: Best Fitness: 103.44140339656843, Per-Enemy Fitness: [39.36521039683075, 88.07041085661014, 39.49061166337202, 89.37853908213779]
Generation 31: Best Fitness: 103.44140339656843, Per-Enemy Fitness: [39.36521039683075, 88.07041085661014, 39.49061166337202, 89.37853908213779]
Generation 32: Best Fitness: 103.44140339656843, Per-Enemy Fitness: [39.36521039683075, 88.07041085661014, 39.49061166337202, 89.37853908213779]
Generation 33: Best Fitness: 103.44140339656843, Per-Enemy Fitness: [39.36521039683075, 88.07041085661014, 39.49061166337202, 89.37853908213779]
Generation 34: Best Fitness: 103.44140339656843, Per-Enemy Fitness: [39.36521039683075, 88.07041085661014, 39.49061166337202, 89.37853908213779]
Generation 35: Best Fitness: 103.44140339656843, Per-Enemy Fitness: [39.36521039683075, 88.07041085661014, 39.49061166337202, 89.37853908213779]
Generation 36: Best Fitness: 104.01814850692368, Per-Enemy Fitness: [39.37237888630936, 90.42687189361196, 39.40528862039816, 89.37853908213779]
Generation 37: Best Fitness: 116.51295726781026, Per-Enemy Fitness: [48.12788221052458, 89.83052820481507, 48.344008189180144, 87.23788162462296]
Generation 38: Best Fitness: 121.63248063824287, Per-Enemy Fitness: [48.21003982910275, 89.89419793370404, 66.20698639161586, 89.37853908213779]
Generation 39: Best Fitness: 121.63248063824287, Per-Enemy Fitness: [48.21003982910275, 89.89419793370404, 66.20698639161586, 89.37853908213779]
Generation 40: Best Fitness: 121.63248063824287, Per-Enemy Fitness: [48.21003982910275, 89.89419793370404, 66.20698639161586, 89.37853908213779]
Generation 41: Best Fitness: 121.63248063824287, Per-Enemy Fitness: [48.21003982910275, 89.89419793370404, 66.20698639161586, 89.37853908213779]
Generation 42: Best Fitness: 121.63248063824287, Per-Enemy Fitness: [48.21003982910275, 89.89419793370404, 66.20698639161586, 89.37853908213779]
Generation 43: Best Fitness: 121.63248063824287, Per-Enemy Fitness: [48.21003982910275, 89.89419793370404, 66.20698639161586, 89.37853908213779]
Generation 44: Best Fitness: 121.63248063824287, Per-Enemy Fitness: [48.21003982910275, 89.89419793370404, 66.20698639161586, 89.37853908213779]
Generation 45: Best Fitness: 131.92931543970937, Per-Enemy Fitness: [56.853670742331104, 90.06322890233346, 66.14779752022552, 87.23788162462296]
Generation 46: Best Fitness: 104.01814850692368, Per-Enemy Fitness: [39.37237888630936, 90.42687189361196, 39.40528862039816, 89.37853908213779]
Generation 47: Best Fitness: 104.01814850692368, Per-Enemy Fitness: [39.37237888630936, 90.42687189361196, 39.40528862039816, 89.37853908213779]
Generation 48: Best Fitness: 104.04023692262973, Per-Enemy Fitness: [39.38322890233343, 90.46405089685372, 39.35102576183879, 89.55853908213778]
Generation 49: Best Fitness: 107.59991309379046, Per-Enemy Fitness: [39.27968822339259, 89.53788117912033, 57.22544845445559, 87.23788162462296]
Generation 50: Best Fitness: 107.59991309379046, Per-Enemy Fitness: [39.27968822339259, 89.53788117912033, 57.22544845445559, 87.23788162462296]
Generation 51: Best Fitness: 107.59991309379046, Per-Enemy Fitness: [39.27968822339259, 89.53788117912033, 57.22544845445559, 87.23788162462296]
Generation 52: Best Fitness: 107.59991309379046, Per-Enemy Fitness: [39.27968822339259, 89.53788117912033, 57.22544845445559, 87.23788162462296]
Generation 53: Best Fitness: 107.59991309379046, Per-Enemy Fitness: [39.27968822339259, 89.53788117912033, 57.22544845445559, 87.23788162462296]
Generation 54: Best Fitness: 107.59991309379046, Per-Enemy Fitness: [39.27968822339259, 89.53788117912033, 57.22544845445559, 87.23788162462296]
Generation 55: Best Fitness: 109.78749690405832, Per-Enemy Fitness: [39.286267194490634, 89.29788117912034, 66.1828888400368, 87.23788162462296]
Generation 56: Best Fitness: 109.78749690405832, Per-Enemy Fitness: [39.286267194490634, 89.29788117912034, 66.1828888400368, 87.23788162462296]
Generation 57: Best Fitness: 115.19430494610555, Per-Enemy Fitness: [39.33357331188757, 90.12687189361196, 84.42394224923466, 89.55853908213778]
Generation 58: Best Fitness: 121.08481781973555, Per-Enemy Fitness: [48.17105438238979, 90.06322890233346, 66.1828888400368, 87.23788162462296]
Generation 59: Best Fitness: 121.08481781973555, Per-Enemy Fitness: [48.17105438238979, 90.06322890233346, 66.1828888400368, 87.23788162462296]
Generation 60: Best Fitness: 121.08481781973555, Per-Enemy Fitness: [48.17105438238979, 90.06322890233346, 66.1828888400368, 87.23788162462296]
Generation 61: Best Fitness: 121.08481781973555, Per-Enemy Fitness: [48.17105438238979, 90.06322890233346, 66.1828888400368, 87.23788162462296]
Generation 62: Best Fitness: 121.64373266782187, Per-Enemy Fitness: [48.165189262937396, 90.01052820481507, 66.17991706964764, 89.55853908213778]
Generation 63: Best Fitness: 123.43606698414746, Per-Enemy Fitness: [48.19486503108351, 90.36687189361196, 75.16518926293739, 87.23788162462296]
Generation 64: Best Fitness: 136.40451630362512, Per-Enemy Fitness: [56.84939723155372, 89.94687189361196, 84.23353194306672, 87.19067522005317]
Generation 65: Best Fitness: 136.40451630362512, Per-Enemy Fitness: [56.84939723155372, 89.94687189361196, 84.23353194306672, 87.19067522005317]
Generation 66: Best Fitness: 118.90868659657077, Per-Enemy Fitness: [48.20394224923463, 90.16405089685372, 57.21310261863329, 87.23788162462296]
Generation 67: Best Fitness: 118.90868659657077, Per-Enemy Fitness: [48.20394224923463, 90.16405089685372, 57.21310261863329, 87.23788162462296]
