Generation 0: Best Fitness: 64.82624907542225, Per-Enemy Fitness: [np.float64(21.40528862039816), np.float64(90.92901301948918), np.float64(21.84670840550222), np.float64(39.5028317747068)]
Generation 1: Best Fitness: 64.82624907542225, Per-Enemy Fitness: [np.float64(21.40528862039816), np.float64(90.92901301948918), np.float64(21.84670840550222), np.float64(39.5028317747068)]
Generation 2: Best Fitness: 74.51536958647515, Per-Enemy Fitness: [np.float64(47.33177175158259), np.float64(89.46649699436176), np.float64(20.904175437567776), np.float64(56.742332412117364)]
Generation 3: Best Fitness: 87.70326668827923, Per-Enemy Fitness: [np.float64(30.447040415078384), np.float64(74.85581436587435), np.float64(48.6109282701835), np.float64(75.11112204166712)]
Generation 4: Best Fitness: 87.70326668827923, Per-Enemy Fitness: [np.float64(30.447040415078384), np.float64(74.85581436587435), np.float64(48.6109282701835), np.float64(75.11112204166712)]
Generation 5: Best Fitness: 87.70326668827923, Per-Enemy Fitness: [np.float64(30.447040415078384), np.float64(74.85581436587435), np.float64(48.6109282701835), np.float64(75.11112204166712)]
Generation 6: Best Fitness: 87.70326668827923, Per-Enemy Fitness: [np.float64(30.447040415078384), np.float64(74.85581436587435), np.float64(48.6109282701835), np.float64(75.11112204166712)]
Generation 7: Best Fitness: 87.70326668827923, Per-Enemy Fitness: [np.float64(30.447040415078384), np.float64(74.85581436587435), np.float64(48.6109282701835), np.float64(75.11112204166712)]
Generation 8: Best Fitness: 102.93419318057954, Per-Enemy Fitness: [np.float64(38.50021295934415), np.float64(92.4838995977956), np.float64(38.73090371629374), np.float64(88.0209046115081)]
Generation 9: Best Fitness: 102.93419318057954, Per-Enemy Fitness: [np.float64(38.50021295934415), np.float64(92.4838995977956), np.float64(38.73090371629374), np.float64(88.0209046115081)]
Generation 10: Best Fitness: 80.48639240384341, Per-Enemy Fitness: [np.float64(21.40528862039816), np.float64(90.86901301948917), np.float64(39.58389959779558), np.float64(84.4662138960981)]
Generation 11: Best Fitness: 80.48639240384341, Per-Enemy Fitness: [np.float64(21.40528862039816), np.float64(90.86901301948917), np.float64(39.58389959779558), np.float64(84.4662138960981)]
Generation 12: Best Fitness: 80.48639240384341, Per-Enemy Fitness: [np.float64(21.40528862039816), np.float64(90.86901301948917), np.float64(39.58389959779558), np.float64(84.4662138960981)]
Generation 13: Best Fitness: 80.48639240384341, Per-Enemy Fitness: [np.float64(21.40528862039816), np.float64(90.86901301948917), np.float64(39.58389959779558), np.float64(84.4662138960981)]
Generation 14: Best Fitness: 99.97903929624127, Per-Enemy Fitness: [np.float64(30.337039519864053), np.float64(88.71955642660934), np.float64(75.16518926293739), np.float64(84.34621389609809)]
Generation 15: Best Fitness: 99.97903929624127, Per-Enemy Fitness: [np.float64(30.337039519864053), np.float64(88.71955642660934), np.float64(75.16518926293739), np.float64(84.34621389609809)]
Generation 16: Best Fitness: 99.97903929624127, Per-Enemy Fitness: [np.float64(30.337039519864053), np.float64(88.71955642660934), np.float64(75.16518926293739), np.float64(84.34621389609809)]
