Generation 0: Best Fitness: 89.25176504083615, Per-Enemy Fitness: [np.float64(30.222347676777343), np.float64(91.89061166337203), np.float64(39.1888590070233), np.float64(74.81585110906252)]
Generation 1: Best Fitness: 89.25176504083615, Per-Enemy Fitness: [np.float64(30.222347676777343), np.float64(91.89061166337203), np.float64(39.1888590070233), np.float64(74.81585110906252)]
Generation 2: Best Fitness: 89.25176504083615, Per-Enemy Fitness: [np.float64(30.222347676777343), np.float64(91.89061166337203), np.float64(39.1888590070233), np.float64(74.81585110906252)]
Generation 3: Best Fitness: 89.25176504083615, Per-Enemy Fitness: [np.float64(30.222347676777343), np.float64(91.89061166337203), np.float64(39.1888590070233), np.float64(74.81585110906252)]
Generation 4: Best Fitness: 89.25176504083615, Per-Enemy Fitness: [np.float64(30.222347676777343), np.float64(91.89061166337203), np.float64(39.1888590070233), np.float64(74.81585110906252)]
Generation 5: Best Fitness: 89.25176504083615, Per-Enemy Fitness: [np.float64(30.222347676777343), np.float64(91.89061166337203), np.float64(39.1888590070233), np.float64(74.81585110906252)]
Generation 6: Best Fitness: 89.25176504083615, Per-Enemy Fitness: [np.float64(30.222347676777343), np.float64(91.89061166337203), np.float64(39.1888590070233), np.float64(74.81585110906252)]
Generation 7: Best Fitness: 89.25176504083615, Per-Enemy Fitness: [np.float64(30.222347676777343), np.float64(91.89061166337203), np.float64(39.1888590070233), np.float64(74.81585110906252)]
Generation 8: Best Fitness: 89.38075039049363, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(90.84704041507838), np.float64(85.01003982910274), np.float64(75.31642023266132)]
Generation 9: Best Fitness: 96.71239647629997, Per-Enemy Fitness: [np.float64(39.17991706964764), np.float64(48.17695410451698), np.float64(85.04090461150807), np.float64(57.73214184093667)]
Generation 10: Best Fitness: 96.71239647629997, Per-Enemy Fitness: [np.float64(39.17991706964764), np.float64(48.17695410451698), np.float64(85.04090461150807), np.float64(57.73214184093667)]
Generation 11: Best Fitness: 89.44078025781928, Per-Enemy Fitness: [np.float64(30.228558876869982), np.float64(92.04704041507837), np.float64(39.37237888630936), np.float64(75.20090734553948)]
Generation 12: Best Fitness: 89.44078025781928, Per-Enemy Fitness: [np.float64(30.228558876869982), np.float64(92.04704041507837), np.float64(39.37237888630936), np.float64(75.20090734553948)]
Generation 13: Best Fitness: 89.44078025781928, Per-Enemy Fitness: [np.float64(30.228558876869982), np.float64(92.04704041507837), np.float64(39.37237888630936), np.float64(75.20090734553948)]
Generation 14: Best Fitness: 89.44078025781928, Per-Enemy Fitness: [np.float64(30.228558876869982), np.float64(92.04704041507837), np.float64(39.37237888630936), np.float64(75.20090734553948)]
Generation 15: Best Fitness: 89.44078025781928, Per-Enemy Fitness: [np.float64(30.228558876869982), np.float64(92.04704041507837), np.float64(39.37237888630936), np.float64(75.20090734553948)]
Generation 16: Best Fitness: 89.44078025781928, Per-Enemy Fitness: [np.float64(30.228558876869982), np.float64(92.04704041507837), np.float64(39.37237888630936), np.float64(75.20090734553948)]
Generation 17: Best Fitness: 89.44078025781928, Per-Enemy Fitness: [np.float64(30.228558876869982), np.float64(92.04704041507837), np.float64(39.37237888630936), np.float64(75.20090734553948)]
Generation 18: Best Fitness: 89.44078025781928, Per-Enemy Fitness: [np.float64(30.228558876869982), np.float64(92.04704041507837), np.float64(39.37237888630936), np.float64(75.20090734553948)]
Generation 19: Best Fitness: 89.44078025781928, Per-Enemy Fitness: [np.float64(30.228558876869982), np.float64(92.04704041507837), np.float64(39.37237888630936), np.float64(75.20090734553948)]
Generation 20: Best Fitness: 89.44078025781928, Per-Enemy Fitness: [np.float64(30.228558876869982), np.float64(92.04704041507837), np.float64(39.37237888630936), np.float64(75.20090734553948)]
Generation 21: Best Fitness: 89.44078025781928, Per-Enemy Fitness: [np.float64(30.228558876869982), np.float64(92.04704041507837), np.float64(39.37237888630936), np.float64(75.20090734553948)]
Generation 22: Best Fitness: 89.44078025781928, Per-Enemy Fitness: [np.float64(30.228558876869982), np.float64(92.04704041507837), np.float64(39.37237888630936), np.float64(75.20090734553948)]
Generation 23: Best Fitness: 89.44078025781928, Per-Enemy Fitness: [np.float64(30.228558876869982), np.float64(92.04704041507837), np.float64(39.37237888630936), np.float64(75.20090734553948)]
Generation 24: Best Fitness: 89.44078025781928, Per-Enemy Fitness: [np.float64(30.228558876869982), np.float64(92.04704041507837), np.float64(39.37237888630936), np.float64(75.20090734553948)]
Generation 25: Best Fitness: 89.53246020024986, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(85.01003982910274), np.float64(75.27968822339258)]
Generation 26: Best Fitness: 89.53246020024986, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(85.01003982910274), np.float64(75.27968822339258)]
Generation 27: Best Fitness: 89.53246020024986, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(85.01003982910274), np.float64(75.27968822339258)]
Generation 28: Best Fitness: 89.53246020024986, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(85.01003982910274), np.float64(75.27968822339258)]
Generation 29: Best Fitness: 89.53246020024986, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(85.01003982910274), np.float64(75.27968822339258)]
Generation 30: Best Fitness: 89.82493913722129, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.27641489804762)]
Generation 31: Best Fitness: 89.82493913722129, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.27641489804762)]
Generation 32: Best Fitness: 89.82493913722129, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.27641489804762)]
Generation 33: Best Fitness: 89.82493913722129, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.27641489804762)]
Generation 34: Best Fitness: 89.82493913722129, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.27641489804762)]
Generation 35: Best Fitness: 89.82493913722129, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.27641489804762)]
Generation 36: Best Fitness: 89.82493913722129, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.27641489804762)]
Generation 37: Best Fitness: 89.82493913722129, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.27641489804762)]
Generation 38: Best Fitness: 89.82493913722129, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.27641489804762)]
