Enemy, Run, Enemy_Group, Fitness, Player_Life, Enemy_Life, Time, Gain
Enemy 1, Test Run 1, Run 1, Enemy Group enemies_group_one, Fitness: 94.91859563501554, Player Life: 100, Enemy Life: 0, Time: 161, Gain: 100
Enemy 1, Test Run 2, Run 1, Enemy Group enemies_group_one, Fitness: 94.91859563501554, Player Life: 100, Enemy Life: 0, Time: 161, Gain: 100
Enemy 1, Test Run 3, Run 1, Enemy Group enemies_group_one, Fitness: 94.91859563501554, Player Life: 100, Enemy Life: 0, Time: 161, Gain: 100
Enemy 1, Test Run 4, Run 1, Enemy Group enemies_group_one, Fitness: 94.91859563501554, Player Life: 100, Enemy Life: 0, Time: 161, Gain: 100
Enemy 1, Test Run 5, Run 1, Enemy Group enemies_group_one, Fitness: 94.91859563501554, Player Life: 100, Enemy Life: 0, Time: 161, Gain: 100
Enemy 1, Test Run 6, Run 1, Enemy Group enemies_group_one, Fitness: 94.91859563501554, Player Life: 100, Enemy Life: 0, Time: 161, Gain: 100
Enemy 1, Test Run 7, Run 1, Enemy Group enemies_group_one, Fitness: 94.91859563501554, Player Life: 100, Enemy Life: 0, Time: 161, Gain: 100
Enemy 1, Test Run 8, Run 1, Enemy Group enemies_group_one, Fitness: 94.91859563501554, Player Life: 100, Enemy Life: 0, Time: 161, Gain: 100
Enemy 1, Test Run 9, Run 1, Enemy Group enemies_group_one, Fitness: 94.91859563501554, Player Life: 100, Enemy Life: 0, Time: 161, Gain: 100
Enemy 1, Test Run 10, Run 1, Enemy Group enemies_group_one, Fitness: 94.91859563501554, Player Life: 100, Enemy Life: 0, Time: 161, Gain: 100
Enemy 2, Test Run 1, Run 1, Enemy Group enemies_group_one, Fitness: 91.49061166337202, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
Enemy 2, Test Run 2, Run 1, Enemy Group enemies_group_one, Fitness: 91.49061166337202, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
Enemy 2, Test Run 3, Run 1, Enemy Group enemies_group_one, Fitness: 91.49061166337202, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
Enemy 2, Test Run 4, Run 1, Enemy Group enemies_group_one, Fitness: 91.49061166337202, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
Enemy 2, Test Run 5, Run 1, Enemy Group enemies_group_one, Fitness: 91.49061166337202, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
Enemy 2, Test Run 6, Run 1, Enemy Group enemies_group_one, Fitness: 91.49061166337202, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
Enemy 2, Test Run 7, Run 1, Enemy Group enemies_group_one, Fitness: 91.49061166337202, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
Enemy 2, Test Run 8, Run 1, Enemy Group enemies_group_one, Fitness: 91.49061166337202, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
Enemy 2, Test Run 9, Run 1, Enemy Group enemies_group_one, Fitness: 91.49061166337202, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
Enemy 2, Test Run 10, Run 1, Enemy Group enemies_group_one, Fitness: 91.49061166337202, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
