Enemy, Run, Enemy_Group, Fitness, Player_Life, Enemy_Life, Time, Gain
Enemy 1, Run 1, Enemy Group enemies_group_one, Fitness: 75.26020708782076, Player Life: 0, Enemy Life: 10.0, Time: 311, Gain: -10.0
Enemy 2, Run 1, Enemy Group enemies_group_one, Fitness: 75.22544845445559, Player Life: 0, Enemy Life: 10.0, Time: 322, Gain: -10.0
Enemy 3, Run 1, Enemy Group enemies_group_one, Fitness: 74.76558927428162, Player Life: 0, Enemy Life: 10.0, Time: 510, Gain: -10.0
Enemy 4, Run 1, Enemy Group enemies_group_one, Fitness: 21.31642023266132, Player Life: 0, Enemy Life: 70.0, Time: 294, Gain: -70.0
Enemy 5, Run 1, Enemy Group enemies_group_one, Fitness: 90.65642023266135, Player Life: 63.40000000000034, Enemy Life: 0, Time: 294, Gain: 63.40000000000034
Enemy 6, Run 1, Enemy Group enemies_group_one, Fitness: -5.1647859739235145, Player Life: 0, Enemy Life: 100, Time: 175, Gain: -100
Enemy 7, Run 1, Enemy Group enemies_group_one, Fitness: 75.82951600496185, Player Life: 0, Enemy Life: 10.0, Time: 176, Gain: -10.0
Enemy 8, Run 1, Enemy Group enemies_group_one, Fitness: 29.73279945145864, Player Life: 0, Enemy Life: 60.0, Time: 527, Gain: -60.0
Enemy 1, Run 2, Enemy Group enemies_group_two, Fitness: 3.228558876869984, Player Life: 0, Enemy Life: 90.0, Time: 321, Gain: -90.0
Enemy 2, Run 2, Enemy Group enemies_group_two, Fitness: 91.33740496697304, Player Life: 64, Enemy Life: 0, Time: 158, Gain: 64
Enemy 3, Run 2, Enemy Group enemies_group_two, Fitness: 39.68188000615579, Player Life: 0, Enemy Life: 50.0, Time: 204, Gain: -50.0
Enemy 4, Run 2, Enemy Group enemies_group_two, Fitness: 74.70105075314406, Player Life: 0, Enemy Life: 10.0, Time: 544, Gain: -10.0
Enemy 5, Run 2, Enemy Group enemies_group_two, Fitness: 89.89419793370404, Player Life: 55.00000000000032, Enemy Life: 0, Time: 272, Gain: 55.00000000000032
Enemy 6, Run 2, Enemy Group enemies_group_two, Fitness: 66.21310261863329, Player Life: 0, Enemy Life: 20.0, Time: 326, Gain: -20.0
Enemy 7, Run 2, Enemy Group enemies_group_two, Fitness: 75.68679402095822, Player Life: 0, Enemy Life: 10.0, Time: 203, Gain: -10.0
Enemy 8, Run 2, Enemy Group enemies_group_two, Fitness: 87.05788162462296, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Enemy 1, Run 3, Enemy Group enemies_group_two, Fitness: 12.200907345539473, Player Life: 0, Enemy Life: 80.0, Time: 330, Gain: -80.0
Enemy 2, Run 3, Enemy Group enemies_group_two, Fitness: 11.817915093283368, Player Life: 0, Enemy Life: 80.0, Time: 484, Gain: -80.0
Enemy 3, Run 3, Enemy Group enemies_group_two, Fitness: 21.216174817670264, Player Life: 0, Enemy Life: 70.0, Time: 325, Gain: -70.0
Enemy 4, Run 3, Enemy Group enemies_group_two, Fitness: 73.73317265247941, Player Life: 0, Enemy Life: 10.0, Time: 1432, Gain: -10.0
Enemy 5, Run 3, Enemy Group enemies_group_two, Fitness: 93.21454706086823, Player Life: 87.40000000000012, Enemy Life: 0, Time: 251, Gain: 87.40000000000012
Enemy 6, Run 3, Enemy Group enemies_group_two, Fitness: 85.80882311287881, Player Life: 28.000000000000256, Enemy Life: 0, Time: 1087, Gain: 28.000000000000256
Enemy 7, Run 3, Enemy Group enemies_group_two, Fitness: 13.425289021496617, Player Life: 0, Enemy Life: 80.0, Time: 97, Gain: -80.0
Enemy 8, Run 3, Enemy Group enemies_group_two, Fitness: 74.43224472101788, Player Life: 3.4000000000002344, Enemy Life: 10.0, Time: 1000, Gain: -6.599999999999765
Enemy 1, Run 4, Enemy Group enemies_group_one, Fitness: 94.78506424239102, Player Life: 100, Enemy Life: 0, Time: 184, Gain: 100
Enemy 2, Run 4, Enemy Group enemies_group_one, Fitness: 91.49061166337202, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
Enemy 3, Run 4, Enemy Group enemies_group_one, Fitness: 91.5911868145574, Player Life: 76, Enemy Life: 0, Time: 407, Gain: 76
Enemy 4, Run 4, Enemy Group enemies_group_one, Fitness: 21.08649699436173, Player Life: 0, Enemy Life: 70.0, Time: 370, Gain: -70.0
Enemy 5, Run 4, Enemy Group enemies_group_one, Fitness: 91.22901301948917, Player Life: 68.2000000000003, Enemy Life: 0, Time: 268, Gain: 68.2000000000003
Enemy 6, Run 4, Enemy Group enemies_group_one, Fitness: 3.7373098110951144, Player Life: 0, Enemy Life: 90.0, Time: 193, Gain: -90.0
Enemy 7, Run 4, Enemy Group enemies_group_one, Fitness: 75.60637245364764, Player Life: 0, Enemy Life: 10.0, Time: 220, Gain: -10.0
Enemy 8, Run 4, Enemy Group enemies_group_one, Fitness: 21.575049982518596, Player Life: 0, Enemy Life: 70.0, Time: 227, Gain: -70.0
