Generation 0: Best Fitness: 76.69703946429226, Per-Enemy Fitness: [np.float64(21.194865031083513), np.float64(91.84704041507838), np.float64(86.46660195700335), np.float64(22.500190329669735)]
Generation 1: Best Fitness: 82.53266491631176, Per-Enemy Fitness: [np.float64(21.194865031083513), np.float64(91.49061166337202), np.float64(57.17105438238979), np.float64(75.49466846406764)]
Generation 2: Best Fitness: 84.64739029712285, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(90.84704041507838), np.float64(66.17991706964764), np.float64(75.21310261863329)]
Generation 3: Best Fitness: 87.26435961816577, Per-Enemy Fitness: [np.float64(39.15067522005314), np.float64(48.15645558296864), np.float64(48.17105438238979), np.float64(56.976552407038966)]
Generation 4: Best Fitness: 96.23324485094318, Per-Enemy Fitness: [np.float64(39.19486503108351), np.float64(92.00901301948913), np.float64(39.17991706964764), np.float64(57.829516004961846)]
Generation 5: Best Fitness: 96.23324485094318, Per-Enemy Fitness: [np.float64(39.19486503108351), np.float64(92.00901301948913), np.float64(39.17991706964764), np.float64(57.829516004961846)]
Generation 6: Best Fitness: 96.23324485094318, Per-Enemy Fitness: [np.float64(39.19486503108351), np.float64(92.00901301948913), np.float64(39.17991706964764), np.float64(57.829516004961846)]
Generation 7: Best Fitness: 96.23324485094318, Per-Enemy Fitness: [np.float64(39.19486503108351), np.float64(92.00901301948913), np.float64(39.17991706964764), np.float64(57.829516004961846)]
Generation 8: Best Fitness: 96.23324485094318, Per-Enemy Fitness: [np.float64(39.19486503108351), np.float64(92.00901301948913), np.float64(39.17991706964764), np.float64(57.829516004961846)]
Generation 9: Best Fitness: 114.36454424456825, Per-Enemy Fitness: [np.float64(48.241098226122716), np.float64(92.00901301948913), np.float64(48.937404966973034), np.float64(75.3062678611973)]
Generation 10: Best Fitness: 114.36454424456825, Per-Enemy Fitness: [np.float64(48.241098226122716), np.float64(92.00901301948913), np.float64(48.937404966973034), np.float64(75.3062678611973)]
Generation 11: Best Fitness: 121.6732398852887, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(91.49061166337202), np.float64(87.41791509328337), np.float64(48.3029065134946)]
Generation 12: Best Fitness: 121.6732398852887, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(91.49061166337202), np.float64(87.41791509328337), np.float64(48.3029065134946)]
Generation 13: Best Fitness: 121.6732398852887, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(91.49061166337202), np.float64(87.41791509328337), np.float64(48.3029065134946)]
Generation 14: Best Fitness: 121.6732398852887, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(91.49061166337202), np.float64(87.41791509328337), np.float64(48.3029065134946)]
Generation 15: Best Fitness: 121.6732398852887, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(91.49061166337202), np.float64(87.41791509328337), np.float64(48.3029065134946)]
Generation 16: Best Fitness: 121.6732398852887, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(91.49061166337202), np.float64(87.41791509328337), np.float64(48.3029065134946)]
Generation 17: Best Fitness: 121.6732398852887, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(91.49061166337202), np.float64(87.41791509328337), np.float64(48.3029065134946)]
Generation 18: Best Fitness: 121.6732398852887, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(91.49061166337202), np.float64(87.41791509328337), np.float64(48.3029065134946)]
Generation 19: Best Fitness: 127.5489001877355, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(91.80901301948914), np.float64(74.78339389891514), np.float64(57.26665872310225)]
Generation 20: Best Fitness: 146.29804677817637, Per-Enemy Fitness: [np.float64(75.02873816020954), np.float64(92.04704041507837), np.float64(84.24514190598359), np.float64(66.7742533262868)]
Generation 21: Best Fitness: 146.29804677817637, Per-Enemy Fitness: [np.float64(75.02873816020954), np.float64(92.04704041507837), np.float64(84.24514190598359), np.float64(66.7742533262868)]
Generation 22: Best Fitness: 146.29804677817637, Per-Enemy Fitness: [np.float64(75.02873816020954), np.float64(92.04704041507837), np.float64(84.24514190598359), np.float64(66.7742533262868)]
