Generation 0: Best Fitness: 102.20694690323369, Per-Enemy Fitness: [np.float64(39.13070308686623), np.float64(87.88149097138552), np.float64(39.111122041667116), np.float64(86.25998334634745)]
Generation 1: Best Fitness: 102.20694690323369, Per-Enemy Fitness: [np.float64(39.13070308686623), np.float64(87.88149097138552), np.float64(39.111122041667116), np.float64(86.25998334634745)]
Generation 2: Best Fitness: 102.20694690323369, Per-Enemy Fitness: [np.float64(39.13070308686623), np.float64(87.88149097138552), np.float64(39.111122041667116), np.float64(86.25998334634745)]
Generation 3: Best Fitness: 119.50556117781875, Per-Enemy Fitness: [np.float64(65.76167537496049), np.float64(83.88712299345386), np.float64(47.95736716631762), np.float64(88.58661051127251)]
Generation 4: Best Fitness: 119.50556117781875, Per-Enemy Fitness: [np.float64(65.76167537496049), np.float64(83.88712299345386), np.float64(47.95736716631762), np.float64(88.58661051127251)]
Generation 5: Best Fitness: 119.50556117781875, Per-Enemy Fitness: [np.float64(65.76167537496049), np.float64(83.88712299345386), np.float64(47.95736716631762), np.float64(88.58661051127251)]
Generation 6: Best Fitness: 119.50556117781875, Per-Enemy Fitness: [np.float64(65.76167537496049), np.float64(83.88712299345386), np.float64(47.95736716631762), np.float64(88.58661051127251)]
Generation 7: Best Fitness: 119.50556117781875, Per-Enemy Fitness: [np.float64(65.76167537496049), np.float64(83.88712299345386), np.float64(47.95736716631762), np.float64(88.58661051127251)]
Generation 8: Best Fitness: 119.50556117781875, Per-Enemy Fitness: [np.float64(65.76167537496049), np.float64(83.88712299345386), np.float64(47.95736716631762), np.float64(88.58661051127251)]
Generation 9: Best Fitness: 121.30866663337402, Per-Enemy Fitness: [np.float64(65.87094978993946), np.float64(90.60324619773175), np.float64(48.340517784240376), np.float64(87.05788162462296)]
Generation 10: Best Fitness: 121.30866663337402, Per-Enemy Fitness: [np.float64(65.87094978993946), np.float64(90.60324619773175), np.float64(48.340517784240376), np.float64(87.05788162462296)]
Generation 11: Best Fitness: 121.30866663337402, Per-Enemy Fitness: [np.float64(65.87094978993946), np.float64(90.60324619773175), np.float64(48.340517784240376), np.float64(87.05788162462296)]
Generation 12: Best Fitness: 121.30866663337402, Per-Enemy Fitness: [np.float64(65.87094978993946), np.float64(90.60324619773175), np.float64(48.340517784240376), np.float64(87.05788162462296)]
Generation 13: Best Fitness: 121.30866663337402, Per-Enemy Fitness: [np.float64(65.87094978993946), np.float64(90.60324619773175), np.float64(48.340517784240376), np.float64(87.05788162462296)]
Generation 14: Best Fitness: 132.20077295630566, Per-Enemy Fitness: [np.float64(65.8220558859494), np.float64(89.82687189361195), np.float64(57.21925648420767), np.float64(87.05788162462296)]
Generation 15: Best Fitness: 132.20077295630566, Per-Enemy Fitness: [np.float64(65.8220558859494), np.float64(89.82687189361195), np.float64(57.21925648420767), np.float64(87.05788162462296)]
Generation 16: Best Fitness: 132.20077295630566, Per-Enemy Fitness: [np.float64(65.8220558859494), np.float64(89.82687189361195), np.float64(57.21925648420767), np.float64(87.05788162462296)]
Generation 17: Best Fitness: 132.20077295630566, Per-Enemy Fitness: [np.float64(65.8220558859494), np.float64(89.82687189361195), np.float64(57.21925648420767), np.float64(87.05788162462296)]
Generation 18: Best Fitness: 132.20077295630566, Per-Enemy Fitness: [np.float64(65.8220558859494), np.float64(89.82687189361195), np.float64(57.21925648420767), np.float64(87.05788162462296)]
Generation 19: Best Fitness: 132.20077295630566, Per-Enemy Fitness: [np.float64(65.8220558859494), np.float64(89.82687189361195), np.float64(57.21925648420767), np.float64(87.05788162462296)]
Generation 20: Best Fitness: 132.20077295630566, Per-Enemy Fitness: [np.float64(65.8220558859494), np.float64(89.82687189361195), np.float64(57.21925648420767), np.float64(87.05788162462296)]
Generation 21: Best Fitness: 132.20077295630566, Per-Enemy Fitness: [np.float64(65.8220558859494), np.float64(89.82687189361195), np.float64(57.21925648420767), np.float64(87.05788162462296)]
