Enemy, Run, Enemy_Group, Fitness, Player_Life, Enemy_Life, Time, Gain
Enemy 1, Test Run 1, Run 1, Enemy Group enemies_group_two, Fitness: 12.228558876869984, Player Life: 0, Enemy Life: 80.0, Time: 321, Gain: -80.0
Enemy 1, Test Run 2, Run 1, Enemy Group enemies_group_two, Fitness: 12.228558876869984, Player Life: 0, Enemy Life: 80.0, Time: 321, Gain: -80.0
Enemy 1, Test Run 3, Run 1, Enemy Group enemies_group_two, Fitness: 12.228558876869984, Player Life: 0, Enemy Life: 80.0, Time: 321, Gain: -80.0
Enemy 1, Test Run 4, Run 1, Enemy Group enemies_group_two, Fitness: 12.228558876869984, Player Life: 0, Enemy Life: 80.0, Time: 321, Gain: -80.0
Enemy 1, Test Run 5, Run 1, Enemy Group enemies_group_two, Fitness: 12.228558876869984, Player Life: 0, Enemy Life: 80.0, Time: 321, Gain: -80.0
Enemy 1, Test Run 6, Run 1, Enemy Group enemies_group_two, Fitness: 12.228558876869984, Player Life: 0, Enemy Life: 80.0, Time: 321, Gain: -80.0
Enemy 1, Test Run 7, Run 1, Enemy Group enemies_group_two, Fitness: 12.228558876869984, Player Life: 0, Enemy Life: 80.0, Time: 321, Gain: -80.0
Enemy 1, Test Run 8, Run 1, Enemy Group enemies_group_two, Fitness: 12.228558876869984, Player Life: 0, Enemy Life: 80.0, Time: 321, Gain: -80.0
Enemy 1, Test Run 9, Run 1, Enemy Group enemies_group_two, Fitness: 12.228558876869984, Player Life: 0, Enemy Life: 80.0, Time: 321, Gain: -80.0
Enemy 1, Test Run 10, Run 1, Enemy Group enemies_group_two, Fitness: 12.228558876869984, Player Life: 0, Enemy Life: 80.0, Time: 321, Gain: -80.0
Enemy 2, Test Run 1, Run 1, Enemy Group enemies_group_two, Fitness: 91.41261419415923, Player Life: 66, Enemy Life: 0, Time: 179, Gain: 66
Enemy 2, Test Run 2, Run 1, Enemy Group enemies_group_two, Fitness: 91.41261419415923, Player Life: 66, Enemy Life: 0, Time: 179, Gain: 66
Enemy 2, Test Run 3, Run 1, Enemy Group enemies_group_two, Fitness: 91.41261419415923, Player Life: 66, Enemy Life: 0, Time: 179, Gain: 66
Enemy 2, Test Run 4, Run 1, Enemy Group enemies_group_two, Fitness: 91.41261419415923, Player Life: 66, Enemy Life: 0, Time: 179, Gain: 66
Enemy 2, Test Run 5, Run 1, Enemy Group enemies_group_two, Fitness: 91.41261419415923, Player Life: 66, Enemy Life: 0, Time: 179, Gain: 66
Enemy 2, Test Run 6, Run 1, Enemy Group enemies_group_two, Fitness: 91.41261419415923, Player Life: 66, Enemy Life: 0, Time: 179, Gain: 66
Enemy 2, Test Run 7, Run 1, Enemy Group enemies_group_two, Fitness: 91.41261419415923, Player Life: 66, Enemy Life: 0, Time: 179, Gain: 66
Enemy 2, Test Run 8, Run 1, Enemy Group enemies_group_two, Fitness: 91.41261419415923, Player Life: 66, Enemy Life: 0, Time: 179, Gain: 66
Enemy 2, Test Run 9, Run 1, Enemy Group enemies_group_two, Fitness: 91.41261419415923, Player Life: 66, Enemy Life: 0, Time: 179, Gain: 66
Enemy 2, Test Run 10, Run 1, Enemy Group enemies_group_two, Fitness: 91.41261419415923, Player Life: 66, Enemy Life: 0, Time: 179, Gain: 66
Enemy 3, Test Run 1, Run 1, Enemy Group enemies_group_two, Fitness: 75.35809292906188, Player Life: 0, Enemy Life: 10.0, Time: 282, Gain: -10.0
Enemy 3, Test Run 2, Run 1, Enemy Group enemies_group_two, Fitness: 75.35809292906188, Player Life: 0, Enemy Life: 10.0, Time: 282, Gain: -10.0
Enemy 3, Test Run 3, Run 1, Enemy Group enemies_group_two, Fitness: 75.35809292906188, Player Life: 0, Enemy Life: 10.0, Time: 282, Gain: -10.0
Enemy 3, Test Run 4, Run 1, Enemy Group enemies_group_two, Fitness: 75.35809292906188, Player Life: 0, Enemy Life: 10.0, Time: 282, Gain: -10.0
Enemy 3, Test Run 5, Run 1, Enemy Group enemies_group_two, Fitness: 75.35809292906188, Player Life: 0, Enemy Life: 10.0, Time: 282, Gain: -10.0
Enemy 3, Test Run 6, Run 1, Enemy Group enemies_group_two, Fitness: 75.35809292906188, Player Life: 0, Enemy Life: 10.0, Time: 282, Gain: -10.0
Enemy 3, Test Run 7, Run 1, Enemy Group enemies_group_two, Fitness: 75.35809292906188, Player Life: 0, Enemy Life: 10.0, Time: 282, Gain: -10.0
Enemy 3, Test Run 8, Run 1, Enemy Group enemies_group_two, Fitness: 75.35809292906188, Player Life: 0, Enemy Life: 10.0, Time: 282, Gain: -10.0
Enemy 3, Test Run 9, Run 1, Enemy Group enemies_group_two, Fitness: 75.35809292906188, Player Life: 0, Enemy Life: 10.0, Time: 282, Gain: -10.0
Enemy 3, Test Run 10, Run 1, Enemy Group enemies_group_two, Fitness: 75.35809292906188, Player Life: 0, Enemy Life: 10.0, Time: 282, Gain: -10.0
